"","date","mean","min","max","ens_1","ens_2","ens_3","ens_4","ens_5","ens_6","ens_7","ens_8","ens_9","ens_10","ens_11","ens_12","ens_13","ens_14","ens_15","ens_16","ens_17","ens_18","ens_19","ens_20","ens_21","ens_22","ens_23","ens_24","ens_25"
"1",2021-01-19,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755,18.5750179681755
"2",2021-01-20,21.4837410747187,15.9007186872356,26.5094740115984,20.3231371928049,19.5898084839855,25.0713948915038,20.1014270604954,22.1671815348943,23.4699756580208,19.3921684213459,25.2911516698822,23.4104383425366,15.9007186872356,17.3391076687073,19.3696004619513,22.8355495218399,23.0327079259053,20.8955605555113,19.6280161436354,23.4084008396867,23.8461533177569,21.177603184217,20.189090612351,21.1562491071675,26.5094740115984,22.0121876503205,20.3061059079118,20.6703180167011
"3",2021-01-21,25.3479227050895,19.743616119696,31.0780253771365,24.6491644617972,28.4597438609764,25.2420452294355,25.6675026162582,27.0241832559824,20.0449653992284,26.8115452689165,26.8616666853025,30.3642741762632,21.9497659784699,25.8742858349423,24.5612577923929,21.5545592787812,23.9134058219255,25.3685874822452,21.9459285987177,21.7105162224684,22.5023135864738,19.743616119696,31.0780253771365,28.0373856722487,24.8419356096328,29.8541516565103,29.9874735210759,25.6497681203609
"4",2021-01-22,23.334756760965,15.6407809076728,28.8509230467335,20.4062330763137,18.183242184418,25.5925974923628,27.3658613855499,25.0801417266472,28.6326474783571,25.0653605098634,22.4310864416611,27.1634897757363,23.5808249659292,22.366980321215,24.3218193062737,20.9816647054087,28.343807426188,20.6375535265421,28.8509230467335,15.6407809076728,27.3315990101057,23.1559112723678,22.3797378969474,18.5187031299213,23.0417927269964,19.8267038350687,24.7963802898663,19.6730765859783
"5",2021-01-23,23.7370234676091,14.5244012127775,36.3646385698274,29.4898095791206,19.8246657120706,21.3225929670947,27.7951651103917,29.5197351793926,20.6497626022396,14.5244012127775,17.5391453570024,24.2039349978024,36.3646385698274,17.6534501385869,20.0700601399829,21.3366001212715,24.7765609055513,20.7229251293718,30.4112149001848,17.278997149966,23.3909390003284,20.1187193508212,29.3682161221174,23.2555101993471,25.286566212018,26.4289220865753,28.4407202932496,23.6523336531371
"6",2021-01-24,25.0712356048935,14.4620671210488,35.8147856589634,33.0919240109433,16.0433773935151,28.0646266532291,25.3837741089822,23.9955883177447,22.3588526786083,32.4315960177287,23.1629913494755,25.7332704336908,27.1576584848831,24.3946128769222,31.1410815773709,31.9250901250294,25.7253996723013,29.4126492198744,22.2578673631408,24.2627645460477,20.8252735214068,22.1643072839546,14.5744131309706,19.2612539245392,35.8147856589634,24.2544368801443,28.8812277718227,14.4620671210488
"7",2021-01-25,26.7879028943356,15.2811966239684,43.2065315785309,28.2913386389861,43.2065315785309,20.0502090963291,29.4852287884638,25.318476929948,29.1644749028355,24.8263480677794,29.5567147667562,22.1483955115349,22.8455378646943,22.706757620628,20.6164301734818,24.2988022576148,25.679601949307,27.0096506629676,31.8728120578246,21.2789325077394,15.2811966239684,27.4945512502203,33.4554455348007,18.6943586686007,29.2066045192687,40.5787936220617,28.0061093729424,28.6242693911059
"8",2021-01-26,32.7569626945272,20.7469826623724,45.5280102417967,27.3855609441685,31.3964202348408,32.6432879004993,43.045565528675,27.736973462733,25.6952322125819,22.774100193908,29.8879216938589,34.1755265445581,20.7469826623724,42.2212099931186,31.4252411007684,32.3774970867259,32.3067881577793,39.4065976218862,35.6443336091382,25.6215946427426,33.0109261304569,45.5280102417967,41.0820900770786,37.2526132912499,35.6035583697673,24.7458377924576,29.1104907103173,38.0997071597018
"9",2021-01-27,31.3518759277894,19.6065538196362,41.5225090837052,35.8786989441531,23.3436575259726,29.3578925728801,41.5225090837052,36.1227706465468,37.6632091706632,23.4890570700471,28.967066210927,31.2528870762439,23.2160096945187,36.1794477693001,32.6899650018324,36.4364487077601,30.014986781817,30.6141446499012,36.3389276535105,19.6065538196362,35.521175501042,31.1150678536185,28.4804545645091,29.1323927792321,29.1046340421471,35.7992043828642,31.657827869625,30.2919088222827
"10",2021-01-28,26.9200148556755,13.0719633817533,42.0043083898297,17.5784132774362,21.3245229309698,22.1279637476212,31.5928069503844,24.6955875095286,39.2856037528628,34.3333429626689,34.4070229420013,13.0719633817533,31.154633794559,25.57006399017,28.458226284138,36.9315993342576,15.9407673614043,22.0959678225759,21.4732300626343,22.7056901538677,22.3510670821894,20.9873092454426,42.0043083898297,24.3948774655944,35.8185092577661,25.5599852727856,30.4996184054655,28.6372900139795
