"date","obs_chl_ugl","mean","min","max","ens_1","ens_2","ens_3","ens_4","ens_5","ens_6","ens_7","ens_8","ens_9","ens_10","ens_11","ens_12","ens_13","ens_14","ens_15","ens_16","ens_17","ens_18","ens_19","ens_20","ens_21","ens_22","ens_23","ens_24","ens_25","Past","Future","y"
2021-05-28,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,20.8075057069101,2021-05-25,2021-06-01,55
2021-05-29,32.457926806805,27.0439901158259,22.716787815323,30.1079969178276,27.7165926169046,29.1142537218869,27.0353444318017,26.7466740186071,30.1079969178276,27.0425650642073,26.9957747844249,25.5077688890345,29.3983598931614,29.0591656042477,27.0108328388552,27.8587108191001,22.716787815323,29.4655994530419,27.0930517136165,25.1616951132817,23.9620543650169,27.9325949951909,23.5811772561435,25.6755901554966,27.6386933879591,26.6767719943775,28.8472518786864,25.6228434185243,28.1316017489314,2021-05-25,2021-06-01,55
2021-05-30,32.2002172111564,32.6663505301067,25.9702552816932,37.9193912655484,27.7952120375244,33.1543192219722,30.0116750493411,35.1328091235149,35.8571155325967,35.0340095722303,30.4992807822541,29.7884121521838,37.7601552906319,30.051825329858,33.0612753655193,31.2089380515896,25.9702552816932,37.9193912655484,35.1911450624516,32.5785177755351,28.3478495873129,35.1008265790722,28.1184856059155,35.4432806840808,33.6968134174613,31.4866647072708,33.9140793379736,37.2931838713857,32.2432425677501,2021-05-25,2021-06-01,55
2021-05-31,33.6098788934921,25.4488195946536,17.8936858177649,31.2597324770765,27.2968170810669,22.2625090448651,19.3767194933603,31.2597324770765,24.3811497512475,24.1057936244443,24.6659149777312,20.1725059525879,27.4226456563319,19.3485488587844,21.1710380413258,23.2799045474652,22.4963876939548,30.8881694866219,26.9610348014496,27.9589324104135,31.0973528502091,28.6610794825775,17.8936858177649,29.8826951608431,28.9559005181876,25.2490933993626,29.9529719436631,28.0254189434621,23.4544878515441,2021-05-25,2021-06-01,55
2021-06-01,35.3870795199334,30.9147764370906,21.991206650421,38.923272929342,30.163986888965,36.8373975067231,29.0038804165173,21.991206650421,32.045702787852,23.6206804344493,31.8457639443623,31.7786805066859,35.6686374186754,24.8100237982923,23.5059437314711,33.1039516684466,35.933566179891,24.3658620156615,22.4849531455944,32.989387675548,29.9279341135027,31.4430143397525,33.908726902168,33.8872871239035,38.923272929342,38.0787140201733,38.6441192347527,32.6339907325235,25.2727267615907,2021-05-25,2021-06-01,55
2021-06-02,29.2980985781651,32.9173162150202,22.8086504794227,41.5054319615619,36.1326497839632,41.5054319615619,29.6904772153226,34.7348462843115,36.1559599339442,29.6141780276177,31.0758182991624,28.6710402572485,38.6521799412958,26.1144157781577,27.1477536624957,25.0392151456724,39.8387877086854,39.7841223093663,33.5351958159399,35.837623706807,31.1319100778494,31.3011632309928,36.5990388213738,22.8086504794227,28.9606331332228,26.3529073290363,33.6975758638985,37.5401880354119,41.0111425727444,2021-05-25,2021-06-01,55
2021-06-03,37.5400573202828,40.9674796780288,32.8246016169147,50.5842820188119,43.5256785900889,35.4309875910656,46.9981296625414,40.7645711202935,39.8374609289826,36.2641327294589,42.367353580725,39.4177114617437,38.7121466557083,47.598823331254,34.6077988672402,36.4394217009976,50.5842820188119,32.8246016169147,38.8075642710784,44.4890714895978,37.4760811004935,45.1331498110961,41.2988353105191,36.6612356556462,49.1573325921436,37.8474105271882,42.90994828978,48.971869528969,36.0613935183817,2021-05-25,2021-06-01,55
2021-06-04,27.2223696162114,29.8817894700551,19.1139782687899,41.3489208950547,27.0418941828538,30.6410806110053,26.1712815256889,33.0447014819765,25.7508164437224,32.8433255220961,23.1863758241551,32.9392153867485,39.0378005282701,26.9850660873215,29.3294827249497,29.6700453187979,26.1849965348662,33.8694077147778,23.2638146621044,24.4971067781844,40.1032197936967,30.1751717666014,27.3440364875549,19.1139782687899,28.8940101698989,34.0347642195764,28.3059423804335,33.2682814422528,41.3489208950547,2021-05-25,2021-06-01,55
2021-06-05,33.1181614199567,31.3847624187409,17.7649172453584,44.087179614856,31.0718441918249,17.7649172453584,32.2710857941447,44.087179614856,36.650239471872,37.3845785559058,39.7994840538103,24.9000891184939,26.16945625472,32.2636075994868,28.5601050813109,35.3062076128606,32.5125517866037,32.6520586516085,26.0075274459074,26.2198057609722,35.231411511144,40.5443783784453,35.3248510759176,21.7964306794861,25.7825399081918,30.883861659639,34.9396192887237,30.9495671321809,25.5456625950582,2021-05-25,2021-06-01,55
2021-06-06,30.0378571540971,38.0993072167311,22.7473102972927,54.4630337394815,37.4486003987812,30.2429655071861,39.0167407078057,39.4758477888432,42.4316491246871,46.1702534696591,23.6808546992325,36.1751069852592,36.5582963339081,29.9430075062433,32.6912635551968,35.1991331141371,42.1596718892866,44.612828519574,46.1328536875647,22.7473102972927,53.7462322290577,38.7456656595489,54.4630337394815,27.1387575303186,30.9554582095996,31.9592504149421,36.4921846669778,49.837497655809,44.4582167278849,2021-05-25,2021-06-01,55
