"date","obs_chl_ugl","fcast_chl_ugl"
2021-05-17,19.3285699379472,22.8576427023483
2021-05-18,19.8645704643273,19.2314260601187
2021-05-19,15.207256952938,25.0353503158825
2021-05-20,21.930737098531,20.2598845374976
2021-05-21,25.3151532446382,24.1534023655334
2021-05-22,25.1453366850903,26.1981001670469
2021-05-23,21.4793281768007,24.1307692483758
2021-05-24,30.5912333502364,26.372039562559
2021-05-25,22.5808791716556,32.801845664351
2021-05-26,29.7729988142094,25.7162185085557
2021-05-27,23.8562795160715,30.6394707417224
2021-05-28,20.8075057069101,33.6811374005292
2021-05-29,32.457926806805,42.1744641668648
2021-05-30,32.2002172111564,30.6185531075539
2021-05-31,33.6098788934921,30.3692404172362
2021-06-01,35.3870795199334,37.459827783646
2021-06-02,29.2980985781651,30.0234132976031
2021-06-03,37.5400573202828,31.8289658124451
2021-06-04,27.2223696162114,27.1811196616147
2021-06-05,33.1181614199567,30.5526614570117
2021-06-06,30.0378571540971,33.4328802122601
2021-06-07,27.0286587820053,31.240777603035
2021-06-08,31.653138490567,28.496216585753
2021-06-09,22.4973559827592,30.6567476018913
2021-06-10,17.5164698001166,29.1039531522657
2021-06-11,22.6319759482781,20.7047631200128
2021-06-12,23.1053412530614,32.9829519772042
2021-06-13,19.2827669524033,26.1054314857981
2021-06-14,23.2320775873063,26.7490877699812
2021-06-15,21.1079312621416,31.0323599640244
2021-06-16,28.0267081340598,22.5871277356683
2021-06-17,25.6044294868246,27.6209586598794
2021-06-18,16.1949903708952,20.6780637251055
2021-06-19,26.2891232262505,24.3387943798903
2021-06-20,25.5941127859297,26.9363779746291
